id,name,brand,weight_oz,surface_material,core_material,skill_level,paddle_type,image_url,description,pros,cons,affiliate_link,release_year
1,Selkirk Amped Lite,Selkirk,7.4,Raw Carbon Fiber,Polymer,Beginner,Power,https://picsum.photos/seed/pb-1-selkirk-amped-lite/800/600,Selkirk Amped Lite is tuned for power play with a raw carbon fiber face and reliable feel for beginner players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Amped+pickleball+paddle,2021
2,Selkirk Amped Standard,Selkirk,7.5,Fiberglass,Honeycomb Polymer,Intermediate,Control,https://picsum.photos/seed/pb-2-selkirk-amped-standard/800/600,Selkirk Amped Standard is tuned for control play with a fiberglass face and reliable feel for intermediate players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Amped+pickleball+paddle,2022
3,Selkirk Amped Max,Selkirk,7.6,Graphite,ControlPro Polymer,Advanced,Balanced,https://picsum.photos/seed/pb-3-selkirk-amped-max/800/600,Selkirk Amped Max is tuned for balanced play with a graphite face and reliable feel for advanced players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Amped+pickleball+paddle,2023
4,Selkirk Amped Pro,Selkirk,7.7,Carbon Fiber,Foam-Injected Polymer,Beginner,Power,https://picsum.photos/seed/pb-4-selkirk-amped-pro/800/600,Selkirk Amped Pro is tuned for power play with a carbon fiber face and reliable feel for beginner players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Amped+pickleball+paddle,2024
5,Selkirk Vanguard Lite,Selkirk,7.8,Kevlar Blend,Polymer,Intermediate,Control,https://picsum.photos/seed/pb-5-selkirk-vanguard-lite/800/600,Selkirk Vanguard Lite is tuned for control play with a kevlar blend face and reliable feel for intermediate players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Vanguard+pickleball+paddle,2025
6,Selkirk Vanguard Standard,Selkirk,7.9,Raw Carbon Fiber,Honeycomb Polymer,Advanced,Balanced,https://picsum.photos/seed/pb-6-selkirk-vanguard-standard/800/600,Selkirk Vanguard Standard is tuned for balanced play with a raw carbon fiber face and reliable feel for advanced players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Vanguard+pickleball+paddle,2026
7,Selkirk Vanguard Max,Selkirk,8.0,Fiberglass,ControlPro Polymer,Beginner,Power,https://picsum.photos/seed/pb-7-selkirk-vanguard-max/800/600,Selkirk Vanguard Max is tuned for power play with a fiberglass face and reliable feel for beginner players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Vanguard+pickleball+paddle,2021
8,Selkirk Vanguard Pro,Selkirk,8.1,Graphite,Foam-Injected Polymer,Intermediate,Control,https://picsum.photos/seed/pb-8-selkirk-vanguard-pro/800/600,Selkirk Vanguard Pro is tuned for control play with a graphite face and reliable feel for intermediate players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Vanguard+pickleball+paddle,2022
9,Selkirk Luxx Lite,Selkirk,8.2,Carbon Fiber,Polymer,Advanced,Balanced,https://picsum.photos/seed/pb-9-selkirk-luxx-lite/800/600,Selkirk Luxx Lite is tuned for balanced play with a carbon fiber face and reliable feel for advanced players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Luxx+pickleball+paddle,2023
10,Selkirk Luxx Standard,Selkirk,8.3,Kevlar Blend,Honeycomb Polymer,Beginner,Power,https://picsum.photos/seed/pb-10-selkirk-luxx-standard/800/600,Selkirk Luxx Standard is tuned for power play with a kevlar blend face and reliable feel for beginner players.,Consistent sweet spot | Comfortable handle | Durable face,May feel firm on dinks,https://www.amazon.com/s?k=Selkirk+Luxx+pickleball+paddle,2024
